Unnamed: 0,model,price,rating,processor,core,ram,memory,graphic_card,display,os,warrenty
289,Acer Aspire 3 A325-51 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹29,990",4.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
290,Asus Vivobook S15 K5504VAB-BN417WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11),"₹79,990",4.55,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
291,Lenovo LOQ 15IRX9 83DV00KUIN Gaming Laptop (13th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX3050),"₹80,990",4.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",24 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
292,Acer Aspire 3 A325-42 UN.34QSI.004 Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11),"₹41,290",4.45,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB LPDDR4X RAM,1 TB SSD,Intel UHD,"15.8 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
293,Asus Vivobook 16X K3605ZC-RP628WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB RTX3050),"₹70,990",4.6,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
294,Asus TUF Gaming A15 FA566NFR-HN045WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11/ 4GB Graph),"₹58,590",4.65,7th Gen AMD Ryzen 7 7435HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
295,Lenovo Thinkpad E14 G5 21JKS0LK00 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹69,990",4.5,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
296,Acer ALG ‎AL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graphics),"₹74,999",4.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
297,Asus Vivobook 16X K3605ZC-RP587WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹64,990",4.5,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
298,Asus TUF Gaming A15 2024 FA507UV-LP137WS Gaming Laptop (AMD Ryzen 9 8945H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,24,990",4.75,8th Gen AMD Ryzen 9 8945H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
299,Acer One 14 Z8-415 UN.31VSI.006 Laptop (11th Gen Core i3 / 16GB/ 512GB SSD/ Win11 Home),"₹29,990",4.2,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,‎Intel UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
300,Asus TUF Gaming 14 FA401UU-RG033WS Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,19,750",4.25,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB LPDDR5X RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"14 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
301,MSI Cyborg 14 A13UCX-205IN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",4.35,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"14 inches, 1920 x 1200 pixels",Windows 11 OS,2 Year Warranty
302,Asus Vivobook S 14 OLED M5406WA-PP961WS Laptop (AMD Ryzen 9 HX 370/ 24GB/ 512GB SSD/ Win11),"₹1,08,990",4.3,AMD Ryzen AI 9 HX 370,"12 Cores (4P + 8E), 24 Threads",24 GB LPDDR5X RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
303,MSI Modern 14 C12MO-1213IN Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),"₹30,890",4.05,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB  RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
304,Lenovo Yoga Slim 7x 14Q8X9 83ED003BIN Laptop (Snapdragon X Elite/ 32GB/ 1TB SSD/ Windows 11 Home),"₹1,39,990",4.0,Qualcomm Snapdragon X Elite X1E-78-100,12 Cores,32 GB LPDDR5X RAM,1 TB SSD,Qualcomm Adreno,"14.5 inches, 2944 x 1840 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
305,HP Victus 15-fa1278TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),"₹79,590",4.3,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
306,Lenovo ThinkBook 16 G6 21KHA081IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹57,980",4.45,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,Iris Xe Graphics,"16 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
307,MSI Modern 14 C12MO-1249IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹36,990",4.65,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
308,HP 15-fd0129TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹38,990",4.55,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
309,Asus Vivobook S15 OLED S5504VA-MA943WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11),"₹91,599",4.75,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 2880 x 1620 pixels",Windows 11 OS,1 Year Warranty
310,Lenovo ThinkPad E14 21JKS0X900 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),"₹74,990",4.3,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics comes,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
311,Asus TUF Gaming A15 FA506NCR-HN075WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),"₹65,989",4.7,7th Gen AMD Ryzen 7 7435HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
312,Asus TUF Gaming A15 FA506NFR-HN045W Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11/ 4GB Graph),"₹58,990",4.35,7th Gen AMD Ryzen 7 7435HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
313,HP 15-fc0155AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),"₹39,800",4.25,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
314,HP 14-gr1022TU Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),"₹67,490",4.3,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Arc Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
315,Honor MagicBook Art 14 2024 Laptop (Intel Core Ultra 5 125H/ 32GB/ 1TB SSD/ Win11 Home),"₹97,990",4.3,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",32 GB LPDDR5 RAM,1 TB SSD,Intel ARC Graphics,"14.6 inches, 3120 x 2080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
316,Microsoft Surface Pro 11 ‎ZIB-00031 Laptop (Snapdragon X Elite/ 16GB/ 1TB SSD/ Win11),"₹1,62,990",4.45,Qualcomm Snapdragon X Elite,12 Cores,16 GB LPDDR5x RAM,1 TB SSD,Qualcomm Adreno GPU,"13 inches, 2880 x 1920 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
317,Colorful Evol P15 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹83,990",4.45,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
318,HP 15s-fy5010TU Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹31,490",4.4,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
319,MSI Modern 15 H AI C1MG-045IN Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home),"₹65,990",4.7,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB DDR5 RAM,1 TB SSD,Intel Arc Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
320,Asus Vivobook S15 K5504VAB-BN417WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11),"₹79,990",4.55,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
321,Lenovo Yoga Slim 7 14IMH9 83CV0047IN Laptop ( Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home),"₹93,990",4.05,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5x RAM,1 TB SSD,Integrated Intel Arc Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
322,Asus ExpertBook B1 B1402CBA-NK2417WS Laptop (12th Gen Core i7/ 16 GB/ 512 GB SSD/ Win11 Home),"₹63,890",4.7,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
323,Acer Nitro V 16 ANV16-71 NH.QTNSI.003 Gaming Laptop (14th Gen Core i5 / 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),"₹1,02,990",4.15,14th Gen Intel Core i5 14450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
324,Acer Nitro V 16 ANV16-71 NH.QTNSI.002 Gaming Laptop (14th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),"₹1,09,990",4.45,14th Gen Intel Core i7 14650HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
325,Lenovo LOQ 15IRX9 83DV00KUIN Gaming Laptop (13th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX3050),"₹80,990",4.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",24 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
326,Acer Aspire 3 A325-42 UN.34QSI.004 Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11),"₹44,990",4.45,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB LPDDR4X RAM,1 TB SSD,Intel UHD,"15.8 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
327,MSI Sword 16 HX B13VFKG-652IN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB RTX4060),"₹1,39,990",4.6,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16 inches, 1920 x 1200 pixels",Windows 11 OS,2 Year Warranty
328,Acer Aspire 3 15 A325-42 Laptop (AMD Ryzen 5 7430U/ 16GB/ 512GB SSD/ Win11),"₹37,990",4.05,7th Gen AMD Ryzen 5 7430U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Graphics,"15.8 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
329,Asus Vivobook 16X K3605ZC-RP628WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB RTX3050),"₹70,990",4.6,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
330,Lenovo Yoga 7 14IRL8 82YL00AYIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹86,190",4.35,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Integrated Intel Iris Xe Graphics,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
331,Lenovo V15 82TTA073IN Laptop (12th Gen Core i7 / 16GB/ 512GB SSD/ Win11 Home),"₹44,990",4.05,12th Gen Intel,16 GB DDR4 RAM,512 GB SSD,Integrated Intel Iris Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,2 USB 3.0 Ports
332,Asus TUF Gaming A15 FA566NFR-HN045WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11/ 4GB Graph),"₹58,590",4.65,7th Gen AMD Ryzen 7 7435HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
333,Acer Aspire 3 A325-42 Laptop (AMD Ryzen 5 7430U/ 8GB/ 512GB SSD/ Win11),"₹36,990",4.15,7th Gen AMD Ryzen 5 7430U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Graphics,"15.8 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
334,Lenovo IdeaPad Slim 3 15IRU8 82X700C8IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,100",4.15,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB  RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
335,Lenovo Thinkpad E14 G5 21JKS0LK00 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹69,990",4.5,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
336,Acer ALG ‎AL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graphics),"₹74,999",4.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
337,Honor MagicBook Art 14 2024 Laptop (Snapdragon X Elite/ 32GB/ 1TB SSD/ Win11 Home),"₹89,990",4.4,Qualcomm Snapdragon X Elite,32 GB LPDDR5 RAM,1 TB SSD,Qualcomm Adreno Graphics,"14.6 inches, 3120 x 2080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty,Backlit Keyboard
338,Asus Vivobook 15 X1504ZA-NJ527WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹43,990",4.25,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
339,Chuwi CoreBook X Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹41,990",4.1,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel HD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
340,Acer Aspire 3 A324-51 UN.343SI.00Q Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),"₹44,990",4.5,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB  RAM,1 TB SSD,Intel Integrated,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
341,Acer Swift Go 14 AI Laptop (Snapdragon X Plus X1P-42-100/ 16GB/ 1TB SSD/ Win11 Home),"₹89,990",4.65,Intel Snapdragon X Plus X1P-42-100,Octa Core,16 GB LPDDR5X RAM,1 TB SSD,Qualcomm Adreno GPU,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
342,Acer Aspire 3 14 A324-31 Laptop (Intel Core i3 N305/ 16GB/ 512GB SSD/ Win11),"₹29,990",4.25,Intel Core i3 N305,"Octa Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
343,Asus TUF Gaming A15 2024 FA507UV-LP137WS Gaming Laptop (AMD Ryzen 9 8945H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,24,990",4.75,8th Gen AMD Ryzen 9 8945H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
344,Acer Swift Go 14 SFG14-41 NX.KG3SI.008 Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11),"₹53,990",4.3,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB  RAM,1 TB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
345,HP 15-fd0063TU Laptop (12th Gen Core i3/ 8 GB/ 512GB SSD/ Win11 Home),"₹35,490",4.4,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB  RAM,512 GB SSD,Intel Integrated Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
346,Acer Aspire Lite 15 AL15-52H Laptop (12th Gen Core i5/ 12GB/ 512GB SSD/ Win11),"₹44,990",4.4,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",12 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
347,Asus Vivobook S 15 OLED S5507QA-MA551WS Laptop (Snapdragon X Plus X1P 42 100/ 16GB/ 1TB SSD/ Win11),"₹89,990",4.5,Qualcomm Snapdragon X Plus X1P 42,16 GB LPDDR5X RAM,1 TB SSD,Qualcomm Adreno GPU,"15.6 inches, 2880 x 1620 pixels",Windows 11 OS,1 Year Warranty,Backlit Keyboard
348,Acer Aspire 3 A324-51 UN.343SI.00D Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹31,990",4.65,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
349,Acer One 14 Z8-415 UN.31VSI.006 Laptop (11th Gen Core i3 / 16GB/ 512GB SSD/ Win11 Home),"₹29,990",4.2,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,‎Intel UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
350,Asus ROG Zephyrus G16 OLED GA605WV-QP078WS Gaming Laptop (AMD Ryzen AI 9 HX 370/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,84,990",4.25,AMD Ryzen AI 9 HX 370,"12 Cores (4P + 8E), 24 Threads",16 GB LPDDR5X RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
351,Asus TUF Gaming 14 FA401UU-RG033WS Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,19,800",4.25,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB LPDDR5X RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"14 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
352,Asus ProArt PX13 OLED HN7306WU-LX001WS Creator Laptop (AMD Ryzen AI 9 365/ 24GB/1TB SSD/ 6GB RTX 4050 Graphics),"₹1,69,899",4.7,AMD Ryzen AI 9 365,"10 Cores (4P + 6E), 20 Threads",24 GB LPDDR5X RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
353,Asus Vivobook S 14 OLED M5406WA-PP961WS Laptop (AMD Ryzen 9 HX 370/ 24GB/ 512GB SSD/ Win11),"₹1,09,990",4.3,AMD Ryzen AI 9 HX 370,"12 Cores (4P + 8E), 24 Threads",24 GB LPDDR5X RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
354,MSI Cyborg 14 A13UCX-205IN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",4.35,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"14 inches, 1920 x 1200 pixels",Windows 11 OS,2 Year Warranty
355,MSI Creator Z17 HX Studio A14VGT-405IN Creator Laptop (14th Gen Core i7/ 32GB/ 2TB SSD/ Win11/ 8GB Graph),"₹2,79,990",4.2,14th Gen Intel Core i7 14700HX,"20 Cores (8P + 12E), 28 Threads",32 GB DDR5 RAM,2 TB SSD,8 GB NVIDIA GeForce RTX 4070,"17 inches, 2560 x 1600 pixels, Touch Screen",Windows 11 OS,2 Year Warranty
356,MSI Cyborg 14 A13UCX-206IN Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,990",4.5,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"14 inches, 1920 x 1200 pixels",Windows 11 OS,2 Year Warranty
357,Asus Vivobook Go 15 E1504FA-NJ549WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),"₹40,899",4.4,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
358,MSI Cyborg 14 A13UCX-204IN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹67,990",4.05,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"14 inches, 1920 x 1200 pixels",Windows 11 OS,2 Year Warranty
359,MSI Cyborg 14 A13UDX-207IN Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),"₹61,990",4.15,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"14 inches, 1920 x 1200 pixels",Windows 11 OS,2 Year Warranty
360,Asus Vivobook Go 15 OLED E1504FAB-LK549WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),"₹46,990",4.7,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
361,MSI Modern 14 C12MO-1213IN Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),"₹30,890",4.05,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB  RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
